season,row_count,generated_at_utc
2004,16774,2026-07-29 07:01:28 UTC
2005,31293,2026-07-29 07:01:46 UTC
2006,69106,2026-07-29 07:02:14 UTC
2007,135671,2026-07-29 07:03:13 UTC
2008,536606,2026-07-29 07:05:32 UTC
2009,404296,2026-07-29 07:12:12 UTC
2010,320068,2026-07-29 07:17:47 UTC
2011,243610,2026-07-29 07:20:36 UTC
2012,499865,2026-07-29 07:22:52 UTC
2013,627477,2026-07-29 07:27:09 UTC
2014,524623,2026-07-29 07:32:28 UTC
2015,514579,2026-07-29 07:36:31 UTC
2016,562754,2026-07-29 07:40:52 UTC
2017,532077,2026-07-29 07:45:16 UTC
2018,515714,2026-07-29 07:50:54 UTC
2019,511770,2026-07-29 07:55:39 UTC
2020,1652273,2026-07-29 08:02:56 UTC
2021,1188996,2026-07-29 08:19:43 UTC
2022,1760851,2026-07-29 08:34:47 UTC
2023,1883731,2026-07-29 08:53:10 UTC
2024,1908679,2026-07-29 09:10:03 UTC
2025,1973907,2026-07-29 09:27:59 UTC
2026,2824090,2026-08-24 02:40:56 UTC
